3.82E+00,2.81E+00,8.15E-01
4.22E+00,4.62E+00,7.94E-01
3.94E+00,5.03E+00,8.15E-01
4.34E+00,6.63E+00,7.89E-01
2.41E+00,8.04E+00,8.76E-01
3.30E+00,4.22E+00,8.14E-01
2.69E+00,4.42E+00,8.74E-01
2.09E+00,1.23E+01,8.69E-01
2.89E+00,1.19E+01,8.69E-01
3.50E+00,4.62E+00,8.22E-01
2.25E+00,1.23E+01,8.72E-01
3.54E+00,1.05E+01,8.25E-01
2.61E+00,9.45E+00,8.76E-01
1.05E+00,7.84E+00,8.69E-01
4.22E+00,6.43E+00,7.98E-01
2.89E+00,9.45E+00,8.72E-01
3.18E+00,6.43E+00,8.63E-01
2.97E+00,9.85E+00,8.70E-01
4.22E+00,8.24E+00,8.00E-01
4.34E+00,1.01E+01,7.89E-01
2.97E+00,8.24E+00,8.71E-01
1.97E+00,1.15E+01,8.66E-01
2.49E+00,9.25E+00,8.76E-01
3.94E+00,8.64E+00,8.18E-01
2.21E+00,1.19E+01,8.72E-01
4.02E+00,4.42E+00,8.09E-01
2.29E+00,9.25E+00,8.75E-01
3.94E+00,9.65E+00,8.17E-01
2.57E+00,1.01E+01,8.76E-01
3.02E+00,1.25E+01,8.64E-01
3.26E+00,1.41E+01,8.47E-01
3.18E+00,1.01E+01,8.63E-01
2.89E+00,1.13E+01,8.71E-01
1.57E+00,9.45E+00,8.43E-01
2.09E+00,1.35E+01,8.67E-01
8.84E-01,1.15E+01,8.62E-01
3.54E+00,5.63E+00,8.24E-01
2.25E+00,5.03E+00,8.73E-01
3.94E+00,4.02E+00,8.13E-01
3.98E+00,5.03E+00,8.12E-01
2.09E+00,1.41E+01,8.66E-01
2.17E+00,1.05E+01,8.72E-01
3.94E+00,6.23E+00,8.17E-01
8.44E-01,1.19E+01,8.60E-01
3.10E+00,8.84E+00,8.67E-01
3.90E+00,1.01E+01,8.19E-01
3.10E+00,8.44E+00,8.67E-01
4.06E+00,1.09E+01,8.08E-01
1.73E+00,1.13E+01,8.55E-01
2.01E+00,1.43E+01,8.64E-01
1.17E+00,7.44E+00,8.73E-01
3.34E+00,9.85E+00,8.19E-01
4.18E+00,9.25E+00,8.03E-01
3.02E+00,1.05E+01,8.68E-01
3.86E+00,4.02E+00,8.17E-01
3.82E+00,4.62E+00,8.20E-01
3.14E+00,1.05E+01,8.64E-01
1.85E+00,1.17E+01,8.62E-01
3.62E+00,1.07E+01,8.26E-01
3.86E+00,4.42E+00,8.18E-01
2.61E+00,1.11E+01,8.75E-01
4.34E+00,1.05E+01,7.88E-01
7.64E-01,1.17E+01,8.57E-01
2.77E+00,1.09E+01,8.73E-01
3.30E+00,6.23E+00,8.16E-01
3.42E+00,6.63E+00,8.23E-01
2.89E+00,6.83E+00,8.74E-01
2.49E+00,1.03E+01,8.76E-01
2.77E+00,7.44E+00,8.76E-01
2.49E+00,1.05E+01,8.76E-01
3.10E+00,6.83E+00,8.67E-01
4.18E+00,9.85E+00,8.02E-01
4.26E+00,1.11E+01,7.92E-01
3.98E+00,9.45E+00,8.15E-01
3.50E+00,6.63E+00,8.25E-01
2.33E+00,1.39E+01,8.70E-01
3.78E+00,7.84E+00,8.24E-01
1.85E+00,1.45E+01,8.59E-01
1.65E+00,7.84E+00,8.50E-01
2.81E+00,5.63E+00,8.74E-01
4.26E+00,4.62E+00,7.91E-01
1.61E+00,1.19E+01,8.45E-01
1.65E+00,7.64E+00,8.50E-01
2.97E+00,1.11E+01,8.69E-01
2.97E+00,6.43E+00,8.71E-01
3.30E+00,3.42E+00,8.12E-01
3.06E+00,1.09E+01,8.66E-01
3.98E+00,3.62E+00,8.09E-01
3.46E+00,1.11E+01,8.23E-01
2.37E+00,1.21E+01,8.73E-01
2.21E+00,1.15E+01,8.72E-01
3.38E+00,9.25E+00,8.21E-01
1.37E+00,8.44E+00,8.24E-01
2.57E+00,1.05E+01,8.76E-01
4.26E+00,5.03E+00,7.92E-01
1.05E+00,1.19E+01,8.67E-01
3.74E+00,8.44E+00,8.26E-01
1.53E+00,1.01E+01,8.40E-01
3.06E+00,7.84E+00,8.69E-01
9.25E-01,7.44E+00,8.65E-01
3.46E+00,7.64E+00,8.24E-01
4.10E+00,5.03E+00,8.04E-01
3.06E+00,8.24E+00,8.69E-01
3.74E+00,1.09E+01,8.23E-01
1.41E+00,1.09E+01,8.28E-01
3.38E+00,7.24E+00,8.21E-01
4.02E+00,7.44E+00,8.14E-01
2.57E+00,1.19E+01,8.74E-01
2.01E+00,7.64E+00,8.69E-01
3.30E+00,6.03E+00,8.16E-01
3.46E+00,9.45E+00,8.24E-01
1.61E+00,8.84E+00,8.47E-01
3.06E+00,1.11E+01,8.66E-01
3.82E+00,8.64E+00,8.23E-01
2.25E+00,1.03E+01,8.74E-01
3.50E+00,1.23E+01,8.23E-01
3.98E+00,3.02E+00,8.07E-01
3.22E+00,9.45E+00,8.61E-01
1.01E+00,7.64E+00,8.68E-01
1.45E+00,1.07E+01,8.32E-01
4.06E+00,9.45E+00,8.11E-01
3.06E+00,9.45E+00,8.68E-01
3.02E+00,3.22E+00,8.63E-01
1.73E+00,1.29E+01,8.53E-01
2.05E+00,1.27E+01,8.67E-01
4.22E+00,4.02E+00,7.94E-01
1.33E+00,1.21E+01,8.74E-01
4.10E+00,3.82E+00,8.02E-01
2.73E+00,4.02E+00,8.72E-01
2.73E+00,8.84E+00,8.75E-01
2.01E+00,9.85E+00,8.68E-01
1.49E+00,8.64E+00,8.36E-01
1.69E+00,7.84E+00,8.53E-01
4.18E+00,6.43E+00,8.02E-01
1.33E+00,1.29E+01,8.73E-01
2.09E+00,8.44E+00,8.71E-01
1.97E+00,8.24E+00,8.68E-01
2.37E+00,7.84E+00,8.76E-01
3.34E+00,1.27E+01,8.16E-01
3.10E+00,7.84E+00,8.67E-01
3.18E+00,6.63E+00,8.64E-01
2.01E+00,8.84E+00,8.69E-01
3.86E+00,3.02E+00,8.13E-01
1.89E+00,1.37E+01,8.61E-01
3.70E+00,6.43E+00,8.26E-01
3.66E+00,5.03E+00,8.24E-01
3.58E+00,5.03E+00,8.24E-01
1.85E+00,1.11E+01,8.62E-01
4.22E+00,8.64E+00,8.00E-01
4.22E+00,1.07E+01,7.97E-01
3.58E+00,6.23E+00,8.26E-01
3.66E+00,4.42E+00,8.23E-01
2.25E+00,1.19E+01,8.72E-01
4.10E+00,5.23E+00,8.05E-01
2.97E+00,3.42E+00,8.66E-01
2.45E+00,1.31E+01,8.72E-01
1.65E+00,1.01E+01,8.50E-01
3.06E+00,1.31E+01,8.61E-01
4.06E+00,1.03E+01,8.09E-01
4.10E+00,7.24E+00,8.08E-01
1.69E+00,1.27E+01,8.51E-01
3.66E+00,3.82E+00,8.22E-01
3.02E+00,8.84E+00,8.70E-01
1.97E+00,1.19E+01,8.66E-01
1.77E+00,1.37E+01,8.55E-01
3.62E+00,9.45E+00,8.26E-01
3.62E+00,3.62E+00,8.21E-01
1.65E+00,1.05E+01,8.49E-01
1.41E+00,1.19E+01,8.27E-01
3.50E+00,6.83E+00,8.25E-01
2.21E+00,8.24E+00,8.74E-01
3.70E+00,5.63E+00,8.24E-01
3.38E+00,6.63E+00,8.21E-01
1.33E+00,1.07E+01,8.75E-01
2.61E+00,1.43E+01,8.68E-01
1.53E+00,1.29E+01,8.38E-01
4.14E+00,8.84E+00,8.05E-01
2.21E+00,1.25E+01,8.71E-01
3.22E+00,1.29E+01,8.53E-01
3.62E+00,1.05E+01,8.26E-01
2.65E+00,7.64E+00,8.76E-01
2.97E+00,9.45E+00,8.70E-01
1.57E+00,8.44E+00,8.44E-01
3.66E+00,9.45E+00,8.26E-01
2.85E+00,1.21E+01,8.70E-01
1.61E+00,9.05E+00,8.47E-01
3.58E+00,1.23E+01,8.23E-01
2.85E+00,1.07E+01,8.72E-01
2.29E+00,8.24E+00,8.75E-01
3.78E+00,3.82E+00,8.19E-01
2.97E+00,1.07E+01,8.69E-01
3.02E+00,1.45E+01,8.58E-01
2.57E+00,8.24E+00,8.77E-01
1.13E+00,1.17E+01,8.69E-01
4.18E+00,8.64E+00,8.03E-01
2.89E+00,1.47E+01,8.61E-01
2.89E+00,9.05E+00,8.73E-01
3.54E+00,7.44E+00,8.26E-01
3.30E+00,7.04E+00,8.17E-01
3.74E+00,8.04E+00,8.26E-01
3.94E+00,5.83E+00,8.16E-01
4.02E+00,3.82E+00,8.07E-01
1.85E+00,1.09E+01,8.62E-01
3.34E+00,9.65E+00,8.19E-01
3.50E+00,6.03E+00,8.25E-01
3.74E+00,6.63E+00,8.26E-01
2.33E+00,8.24E+00,8.76E-01
1.61E+00,9.85E+00,8.47E-01
2.61E+00,7.84E+00,8.77E-01
4.30E+00,4.22E+00,7.87E-01
3.30E+00,9.45E+00,8.16E-01
4.26E+00,8.04E+00,7.96E-01
2.65E+00,4.82E+00,8.75E-01
2.65E+00,1.27E+01,8.72E-01
3.26E+00,3.62E+00,8.54E-01
3.78E+00,7.44E+00,8.25E-01
1.93E+00,1.05E+01,8.66E-01
3.58E+00,8.24E+00,8.26E-01
2.97E+00,7.04E+00,8.71E-01
2.09E+00,9.25E+00,8.71E-01
3.86E+00,7.04E+00,8.21E-01
2.97E+00,1.39E+01,8.60E-01
4.22E+00,4.82E+00,7.95E-01
3.54E+00,1.17E+01,8.24E-01
3.54E+00,1.09E+01,8.24E-01
1.53E+00,1.11E+01,8.39E-01
3.18E+00,1.03E+01,8.62E-01
4.06E+00,9.85E+00,8.10E-01
1.73E+00,8.64E+00,8.56E-01
3.90E+00,6.83E+00,8.19E-01
3.26E+00,7.24E+00,8.60E-01
2.09E+00,9.85E+00,8.71E-01
4.18E+00,1.01E+01,8.02E-01
1.77E+00,1.05E+01,8.58E-01
3.26E+00,9.85E+00,8.59E-01
2.57E+00,1.09E+01,8.75E-01
2.37E+00,1.39E+01,8.70E-01
1.97E+00,1.13E+01,8.66E-01
4.26E+00,5.23E+00,7.93E-01
1.73E+00,8.84E+00,8.56E-01
2.01E+00,1.51E+01,8.62E-01
2.45E+00,8.84E+00,8.76E-01
2.13E+00,8.44E+00,8.72E-01
4.30E+00,9.65E+00,7.93E-01
3.42E+00,7.64E+00,8.23E-01
4.02E+00,8.64E+00,8.13E-01
1.29E+00,7.64E+00,8.76E-01
2.93E+00,9.65E+00,8.71E-01
2.25E+00,1.25E+01,8.72E-01
1.25E+00,1.29E+01,8.71E-01
3.46E+00,7.84E+00,8.24E-01
3.66E+00,7.84E+00,8.26E-01
3.22E+00,1.11E+01,8.58E-01
3.50E+00,9.65E+00,8.24E-01
3.42E+00,8.44E+00,8.23E-01
1.73E+00,9.65E+00,8.56E-01
2.65E+00,5.43E+00,8.76E-01
2.09E+00,1.27E+01,8.68E-01
3.74E+00,5.43E+00,8.24E-01
3.18E+00,7.44E+00,8.65E-01
4.10E+00,3.62E+00,8.02E-01
1.97E+00,9.45E+00,8.67E-01
1.21E+00,1.11E+01,8.72E-01
2.01E+00,1.25E+01,8.66E-01
4.18E+00,3.22E+00,7.94E-01
2.89E+00,7.84E+00,8.74E-01
3.46E+00,6.63E+00,8.24E-01
2.77E+00,9.25E+00,8.75E-01
2.09E+00,7.44E+00,8.71E-01
3.42E+00,5.83E+00,8.22E-01
2.21E+00,1.23E+01,8.71E-01
2.57E+00,8.04E+00,8.77E-01
2.93E+00,5.03E+00,8.70E-01
3.74E+00,4.82E+00,8.23E-01
4.30E+00,1.11E+01,7.89E-01
3.50E+00,3.42E+00,8.19E-01
2.33E+00,1.11E+01,8.74E-01
3.26E+00,8.44E+00,8.60E-01
3.42E+00,5.43E+00,8.22E-01
2.61E+00,9.65E+00,8.76E-01
1.65E+00,9.45E+00,8.50E-01
3.70E+00,4.22E+00,8.22E-01
3.50E+00,1.19E+01,8.23E-01
1.73E+00,1.27E+01,8.53E-01
2.85E+00,1.09E+01,8.72E-01
1.97E+00,7.64E+00,8.68E-01
9.65E-01,7.44E+00,8.67E-01
1.69E+00,1.55E+01,8.47E-01
2.73E+00,7.04E+00,8.76E-01
1.41E+00,1.13E+01,8.27E-01
4.26E+00,4.22E+00,7.90E-01
1.89E+00,1.17E+01,8.63E-01
3.98E+00,1.17E+01,8.12E-01
3.10E+00,6.43E+00,8.67E-01
1.33E+00,8.04E+00,8.77E-01
4.34E+00,5.83E+00,7.88E-01
2.85E+00,8.04E+00,8.74E-01
4.02E+00,9.45E+00,8.12E-01
3.90E+00,8.44E+00,8.20E-01
3.34E+00,6.23E+00,8.18E-01
1.73E+00,8.24E+00,8.56E-01
3.70E+00,7.04E+00,8.26E-01
2.89E+00,5.83E+00,8.73E-01
1.21E+00,1.29E+01,8.70E-01
3.46E+00,8.44E+00,8.24E-01
3.46E+00,8.24E+00,8.24E-01
1.09E+00,1.21E+01,8.68E-01
1.53E+00,9.05E+00,8.40E-01
2.29E+00,9.05E+00,8.75E-01
1.45E+00,1.09E+01,8.32E-01
3.30E+00,9.25E+00,8.16E-01
2.17E+00,1.41E+01,8.68E-01
2.13E+00,9.65E+00,8.72E-01
3.34E+00,8.64E+00,8.19E-01
3.22E+00,4.22E+00,8.57E-01
2.29E+00,1.39E+01,8.69E-01
4.06E+00,7.24E+00,8.10E-01
1.61E+00,1.37E+01,8.44E-01
2.41E+00,1.25E+01,8.73E-01
2.09E+00,1.19E+01,8.69E-01
2.37E+00,1.25E+01,8.73E-01
4.26E+00,9.65E+00,7.97E-01
2.41E+00,9.25E+00,8.76E-01
4.18E+00,3.02E+00,7.93E-01
3.54E+00,4.42E+00,8.23E-01
2.37E+00,8.64E+00,8.76E-01
3.82E+00,1.09E+01,8.21E-01
2.61E+00,1.09E+01,8.75E-01
2.21E+00,7.84E+00,8.74E-01
1.65E+00,9.65E+00,8.50E-01
4.02E+00,4.02E+00,8.08E-01
1.61E+00,7.84E+00,8.47E-01
1.33E+00,7.84E+00,8.77E-01
2.17E+00,9.25E+00,8.73E-01
4.14E+00,6.63E+00,8.04E-01
2.53E+00,9.45E+00,8.76E-01
1.89E+00,1.19E+01,8.63E-01
1.73E+00,1.37E+01,8.52E-01
2.77E+00,1.15E+01,8.73E-01
3.98E+00,1.11E+01,8.14E-01
3.98E+00,5.63E+00,8.14E-01
4.30E+00,4.62E+00,7.88E-01
2.57E+00,1.07E+01,8.76E-01
2.73E+00,9.45E+00,8.75E-01
1.77E+00,1.09E+01,8.58E-01
1.85E+00,1.25E+01,8.61E-01
3.66E+00,7.44E+00,8.26E-01
1.73E+00,1.03E+01,8.55E-01
2.85E+00,9.65E+00,8.73E-01
4.22E+00,5.23E+00,7.96E-01
3.50E+00,1.13E+01,8.23E-01
3.22E+00,3.82E+00,8.56E-01
3.22E+00,9.25E+00,8.61E-01
2.53E+00,9.05E+00,8.76E-01
2.45E+00,7.84E+00,8.77E-01
2.65E+00,1.37E+01,8.69E-01
2.05E+00,1.23E+01,8.68E-01
3.34E+00,1.21E+01,8.17E-01
1.97E+00,1.07E+01,8.67E-01
4.06E+00,7.44E+00,8.11E-01
2.85E+00,1.17E+01,8.71E-01
2.69E+00,1.09E+01,8.74E-01
3.66E+00,9.05E+00,8.26E-01
1.61E+00,1.11E+01,8.46E-01
3.98E+00,6.03E+00,8.14E-01
2.13E+00,1.09E+01,8.71E-01
3.42E+00,9.85E+00,8.22E-01
4.14E+00,8.44E+00,8.06E-01
1.53E+00,8.64E+00,8.40E-01
4.14E+00,7.44E+00,8.05E-01
1.17E+00,1.29E+01,8.69E-01
2.89E+00,8.84E+00,8.73E-01
2.81E+00,1.03E+01,8.74E-01
3.50E+00,8.84E+00,8.24E-01
1.17E+00,7.84E+00,8.73E-01
2.57E+00,7.84E+00,8.77E-01
3.62E+00,2.61E+00,8.18E-01
3.38E+00,9.85E+00,8.20E-01
2.45E+00,1.37E+01,8.71E-01
4.26E+00,9.85E+00,7.97E-01
1.97E+00,1.33E+01,8.64E-01
2.77E+00,1.49E+01,8.63E-01
4.26E+00,6.23E+00,7.94E-01
2.85E+00,7.44E+00,8.74E-01
3.14E+00,1.07E+01,8.64E-01
2.41E+00,1.21E+01,8.74E-01
2.29E+00,1.41E+01,8.69E-01
3.66E+00,1.01E+01,8.25E-01
4.14E+00,4.62E+00,8.02E-01
3.10E+00,1.29E+01,8.59E-01
3.98E+00,4.42E+00,8.11E-01
3.06E+00,5.63E+00,8.67E-01
3.54E+00,1.07E+01,8.24E-01
3.30E+00,7.24E+00,8.17E-01
3.18E+00,1.09E+01,8.62E-01
2.93E+00,1.33E+01,8.64E-01
4.02E+00,8.84E+00,8.13E-01
2.13E+00,8.24E+00,8.72E-01
1.37E+00,8.84E+00,8.24E-01
3.26E+00,7.04E+00,8.60E-01
4.34E+00,4.42E+00,7.85E-01
4.26E+00,3.42E+00,7.89E-01
2.61E+00,1.19E+01,8.74E-01
4.02E+00,3.62E+00,8.07E-01
2.49E+00,1.17E+01,8.74E-01
3.90E+00,8.64E+00,8.20E-01
3.02E+00,9.25E+00,8.69E-01
3.22E+00,9.05E+00,8.61E-01
1.21E+00,8.24E+00,8.74E-01
3.86E+00,7.24E+00,8.21E-01
2.73E+00,9.65E+00,8.75E-01
3.30E+00,5.43E+00,8.16E-01
2.21E+00,1.07E+01,8.73E-01
3.34E+00,6.43E+00,8.18E-01
3.46E+00,3.42E+00,8.18E-01
2.01E+00,7.84E+00,8.69E-01
1.93E+00,1.35E+01,8.63E-01
3.46E+00,5.43E+00,8.23E-01
4.02E+00,8.24E+00,8.14E-01
1.97E+00,9.25E+00,8.67E-01
4.18E+00,2.81E+00,7.92E-01
3.62E+00,9.25E+00,8.26E-01
3.38E+00,1.13E+01,8.20E-01
3.18E+00,9.05E+00,8.63E-01
3.98E+00,9.85E+00,8.15E-01
1.65E+00,9.25E+00,8.50E-01
3.90E+00,6.43E+00,8.19E-01
2.49E+00,1.45E+01,8.68E-01
3.82E+00,7.04E+00,8.23E-01
1.85E+00,1.53E+01,8.57E-01
2.41E+00,1.01E+01,8.75E-01
2.53E+00,5.43E+00,8.76E-01
4.26E+00,1.07E+01,7.94E-01
3.62E+00,5.63E+00,8.25E-01
3.06E+00,1.13E+01,8.65E-01
3.06E+00,8.84E+00,8.68E-01
3.30E+00,3.82E+00,8.13E-01
2.61E+00,7.64E+00,8.77E-01
4.10E+00,9.65E+00,8.07E-01
2.65E+00,9.25E+00,8.76E-01
3.62E+00,4.22E+00,8.23E-01
2.53E+00,1.09E+01,8.75E-01
3.46E+00,6.83E+00,8.24E-01
2.41E+00,7.64E+00,8.77E-01
3.54E+00,3.82E+00,8.21E-01
3.50E+00,7.04E+00,8.25E-01
1.81E+00,1.21E+01,8.59E-01
4.14E+00,8.04E+00,8.06E-01
2.09E+00,7.64E+00,8.71E-01
4.26E+00,1.05E+01,7.94E-01
3.06E+00,1.05E+01,8.66E-01
3.74E+00,6.03E+00,8.25E-01
3.82E+00,9.25E+00,8.23E-01
2.57E+00,9.65E+00,8.76E-01
4.10E+00,4.22E+00,8.04E-01
9.65E-01,1.19E+01,8.64E-01
2.21E+00,1.41E+01,8.68E-01
3.02E+00,5.63E+00,8.69E-01
2.61E+00,1.37E+01,8.70E-01
3.18E+00,1.35E+01,8.54E-01
4.06E+00,8.64E+00,8.11E-01
3.14E+00,1.01E+01,8.64E-01
1.89E+00,1.05E+01,8.64E-01
2.37E+00,1.09E+01,8.74E-01
3.06E+00,3.22E+00,8.62E-01
4.06E+00,5.03E+00,8.07E-01
2.85E+00,1.11E+01,8.72E-01
3.02E+00,1.23E+01,8.64E-01
1.25E+00,1.13E+01,8.73E-01
2.81E+00,1.13E+01,8.72E-01
3.58E+00,8.64E+00,8.26E-01
2.77E+00,9.85E+00,8.74E-01
1.81E+00,1.17E+01,8.60E-01
2.29E+00,9.45E+00,8.75E-01
3.14E+00,6.63E+00,8.65E-01
2.17E+00,8.44E+00,8.73E-01
2.61E+00,8.04E+00,8.77E-01
4.34E+00,8.04E+00,7.90E-01
3.14E+00,7.24E+00,8.66E-01
1.57E+00,1.03E+01,8.43E-01
3.74E+00,7.04E+00,8.26E-01
4.30E+00,9.45E+00,7.93E-01
2.61E+00,1.05E+01,8.75E-01
3.62E+00,6.63E+00,8.26E-01
2.49E+00,1.31E+01,8.72E-01
1.25E+00,1.39E+01,8.69E-01
3.78E+00,4.02E+00,8.20E-01
2.81E+00,8.64E+00,8.74E-01
4.22E+00,3.02E+00,7.90E-01
4.02E+00,5.43E+00,8.11E-01
4.34E+00,9.45E+00,7.90E-01
3.58E+00,1.15E+01,8.24E-01
4.30E+00,4.82E+00,7.89E-01
1.41E+00,8.64E+00,8.29E-01
3.26E+00,1.11E+01,8.56E-01
2.81E+00,7.44E+00,8.75E-01
3.90E+00,3.22E+00,8.12E-01
2.53E+00,1.29E+01,8.72E-01
2.29E+00,1.13E+01,8.73E-01
2.93E+00,5.83E+00,8.71E-01
1.33E+00,1.49E+01,8.68E-01
2.13E+00,8.84E+00,8.72E-01
2.33E+00,1.33E+01,8.71E-01
4.34E+00,7.44E+00,7.90E-01
1.85E+00,8.24E+00,8.63E-01
3.58E+00,5.83E+00,8.25E-01
1.85E+00,7.64E+00,8.63E-01
1.49E+00,1.27E+01,8.34E-01
9.65E-01,1.13E+01,8.65E-01
3.62E+00,1.03E+01,8.26E-01
2.29E+00,1.09E+01,8.74E-01
2.81E+00,9.25E+00,8.74E-01
1.73E+00,7.84E+00,8.56E-01
1.69E+00,9.85E+00,8.53E-01
3.70E+00,5.03E+00,8.23E-01
3.50E+00,4.82E+00,8.23E-01
2.89E+00,1.11E+01,8.71E-01
2.89E+00,1.17E+01,8.70E-01
2.09E+00,1.51E+01,8.64E-01
2.81E+00,7.24E+00,8.75E-01
2.81E+00,8.44E+00,8.74E-01
2.93E+00,7.64E+00,8.72E-01
3.54E+00,1.29E+01,8.22E-01
3.42E+00,1.19E+01,8.20E-01
2.37E+00,1.05E+01,8.75E-01
3.50E+00,1.01E+01,8.24E-01
2.73E+00,1.15E+01,8.74E-01
2.85E+00,9.25E+00,8.73E-01
2.17E+00,7.64E+00,8.73E-01
2.09E+00,1.43E+01,8.66E-01
3.54E+00,4.62E+00,8.23E-01
3.62E+00,6.43E+00,8.26E-01
3.34E+00,7.64E+00,8.19E-01
3.66E+00,1.27E+01,8.22E-01
1.73E+00,9.25E+00,8.56E-01
2.73E+00,8.44E+00,8.75E-01
2.45E+00,1.07E+01,8.75E-01
3.82E+00,5.23E+00,8.21E-01
1.57E+00,1.05E+01,8.43E-01
2.81E+00,1.21E+01,8.71E-01
1.17E+00,1.07E+01,8.71E-01
3.90E+00,3.82E+00,8.13E-01
2.53E+00,1.23E+01,8.74E-01
1.89E+00,1.35E+01,8.61E-01
2.37E+00,8.84E+00,8.76E-01
2.77E+00,8.44E+00,8.75E-01
4.22E+00,8.04E+00,8.00E-01
3.62E+00,4.62E+00,8.23E-01
3.82E+00,8.24E+00,8.23E-01
3.18E+00,5.23E+00,8.62E-01
2.89E+00,5.63E+00,8.73E-01
3.34E+00,9.05E+00,8.19E-01
3.62E+00,8.64E+00,8.26E-01
1.37E+00,1.21E+01,8.22E-01
1.77E+00,8.04E+00,8.59E-01
3.70E+00,9.65E+00,8.26E-01
1.57E+00,1.17E+01,8.42E-01
3.54E+00,4.22E+00,8.22E-01
3.90E+00,6.63E+00,8.19E-01
1.81E+00,7.44E+00,8.61E-01
3.54E+00,6.83E+00,8.25E-01
3.98E+00,7.24E+00,8.16E-01
1.65E+00,1.29E+01,8.47E-01
3.70E+00,6.83E+00,8.26E-01
3.38E+00,1.07E+01,8.19E-01
1.85E+00,8.64E+00,8.63E-01
2.29E+00,8.04E+00,8.75E-01
3.90E+00,3.02E+00,8.12E-01
2.37E+00,8.04E+00,8.76E-01
2.81E+00,1.01E+01,8.74E-01
3.78E+00,7.64E+00,8.25E-01
4.34E+00,9.25E+00,7.90E-01
3.82E+00,7.44E+00,8.24E-01
1.77E+00,9.85E+00,8.58E-01
2.13E+00,9.45E+00,8.72E-01
4.30E+00,9.85E+00,7.93E-01
4.22E+00,6.63E+00,7.98E-01
1.53E+00,8.44E+00,8.40E-01
3.78E+00,9.85E+00,8.24E-01
3.50E+00,5.43E+00,8.24E-01
3.18E+00,9.45E+00,8.63E-01
4.02E+00,3.42E+00,8.06E-01
3.82E+00,4.82E+00,8.20E-01
1.45E+00,1.11E+01,8.32E-01
3.86E+00,6.43E+00,8.21E-01
1.77E+00,1.11E+01,8.58E-01
3.94E+00,3.02E+00,8.10E-01
3.30E+00,1.13E+01,8.15E-01
2.13E+00,8.64E+00,8.72E-01
2.21E+00,9.85E+00,8.73E-01
3.58E+00,4.82E+00,8.23E-01
3.70E+00,6.63E+00,8.26E-01
3.82E+00,4.22E+00,8.19E-01
1.41E+00,1.11E+01,8.27E-01
3.74E+00,1.03E+01,8.24E-01
2.57E+00,8.44E+00,8.77E-01
3.54E+00,6.43E+00,8.25E-01
2.21E+00,8.04E+00,8.74E-01
2.77E+00,1.07E+01,8.74E-01
3.26E+00,6.23E+00,8.59E-01
3.02E+00,7.84E+00,8.70E-01
3.86E+00,1.01E+01,8.20E-01
3.10E+00,5.43E+00,8.65E-01
2.77E+00,8.24E+00,8.75E-01
3.70E+00,5.83E+00,8.25E-01
2.73E+00,4.22E+00,8.73E-01
2.29E+00,1.19E+01,8.73E-01
3.42E+00,1.17E+01,8.20E-01
1.29E+00,1.21E+01,8.73E-01
3.82E+00,5.03E+00,8.20E-01
3.86E+00,8.04E+00,8.21E-01
1.81E+00,1.09E+01,8.60E-01
2.97E+00,8.04E+00,8.71E-01
2.93E+00,1.07E+01,8.70E-01
3.94E+00,1.01E+01,8.17E-01
3.62E+00,9.65E+00,8.26E-01
4.06E+00,5.43E+00,8.08E-01
1.05E+00,7.64E+00,8.69E-01
1.85E+00,9.05E+00,8.63E-01
3.82E+00,8.44E+00,8.23E-01
2.77E+00,5.43E+00,8.75E-01
1.09E+00,1.19E+01,8.68E-01
3.06E+00,7.04E+00,8.69E-01
2.89E+00,1.23E+01,8.68E-01
8.84E-01,1.19E+01,8.62E-01
2.93E+00,1.25E+01,8.66E-01
3.90E+00,3.42E+00,8.13E-01
3.82E+00,4.02E+00,8.19E-01
2.13E+00,1.13E+01,8.71E-01
2.37E+00,7.64E+00,8.76E-01
2.17E+00,1.11E+01,8.72E-01
2.81E+00,1.17E+01,8.72E-01
2.49E+00,9.05E+00,8.77E-01
2.01E+00,7.44E+00,8.69E-01
1.29E+00,1.13E+01,8.74E-01
3.94E+00,9.05E+00,8.17E-01
3.66E+00,9.25E+00,8.26E-01
1.77E+00,7.84E+00,8.59E-01
2.13E+00,1.23E+01,8.70E-01
3.10E+00,7.44E+00,8.67E-01
2.97E+00,5.83E+00,8.71E-01
3.26E+00,6.63E+00,8.60E-01
4.18E+00,6.63E+00,8.02E-01
2.89E+00,1.15E+01,8.70E-01
2.25E+00,1.49E+01,8.66E-01
3.38E+00,4.42E+00,8.19E-01
1.21E+00,1.09E+01,8.72E-01
4.34E+00,5.43E+00,7.87E-01
3.22E+00,1.05E+01,8.60E-01
4.22E+00,5.63E+00,7.96E-01
2.41E+00,1.13E+01,8.74E-01
4.22E+00,7.84E+00,8.00E-01
3.54E+00,8.04E+00,8.26E-01
4.22E+00,5.43E+00,7.96E-01
1.65E+00,1.37E+01,8.47E-01
2.77E+00,1.13E+01,8.73E-01
2.89E+00,1.01E+01,8.72E-01
2.89E+00,4.22E+00,8.69E-01
3.46E+00,4.22E+00,8.20E-01
1.53E+00,1.19E+01,8.39E-01
3.10E+00,1.01E+01,8.66E-01
1.45E+00,1.21E+01,8.31E-01
3.26E+00,9.65E+00,8.59E-01
2.05E+00,1.15E+01,8.68E-01
1.25E+00,1.09E+01,8.73E-01
1.29E+00,1.07E+01,8.74E-01
